x,y
2135,2164
2151,2164
2154,2168
2154,2173
2160,2194
2169,2239
2185,2299
2186,2309
2194,2341
2200,2389
2224,2497
2235,2574
2243,2649
2249,2757
2250,2883
2248,2976
2252,2999
2253,3018
2259,3041
2264,3071
2271,3133
2271,3173
2269,3204
2278,3203
2281,3207
2284,3223
2287,3229
2292,3249
2298,3290
2302,3306
2304,3309
2306,3321
2308,3324
2308,3328
2310,3331
2311,3339
2313,3342
2320,3374
2355,3475
2355,3479
2360,3491
2361,3499
2367,3516
2377,3556
2377,3561
2380,3569
2381,3579
2383,3582
2394,3637
2408,3726
2415,3759
2439,3927
2457,4011
2459,4014
2471,4062
2485,4101
2485,4105
2487,4107
2487,4112
2491,4121
2491,4125
2493,4127
2493,4131
2496,4135
2498,4144
2500,4146
2500,4149
2503,4153
2506,4162
2508,4163
2511,4171
2513,4172
2520,4186
2523,4188
2525,4194
2527,4195
2527,4205
2523,4209
2520,4209
2514,4212
2513,4214
2507,4216
2506,4218
2501,4220
2497,4225
2478,4225
2463,4228
2459,4231
2447,4235
2427,4237
2412,4241
2389,4242
2365,4249
2361,4252
2351,4253
2341,4257
2321,4257
2315,4253
2315,4233
2317,4226
2326,4209
2330,4205
2337,4205
2337,4197
2334,4174
2327,4143
2323,4135
2321,4124
2312,4097
2302,4076
2302,4073
2297,4065
2297,4062
2273,4015
2268,4009
2260,3993
2254,3986
2253,3982
2251,3981
2251,3979
2249,3978
2249,3976
2247,3975
2247,3973
2245,3972
2245,3970
2243,3969
2243,3967
2241,3966
2241,3964
2239,3963
2239,3961
2237,3960
2237,3958
2235,3957
2227,3943
2224,3941
2222,3936
2219,3934
2217,3929
2214,3927
2212,3922
2209,3920
2207,3915
2204,3913
2202,3908
2199,3906
2199,3904
2191,3895
2187,3887
2184,3885
2184,3883
2181,3881
2177,3873
2174,3871
2174,3869
2172,3868
2172,3866
2170,3865
2170,3863
2168,3862
2168,3860
2166,3859
2166,3857
2161,3852
2158,3845
2155,3843
2154,3839
2148,3832
2147,3828
2143,3824
2136,3810
2134,3809
2105,3749
2097,3725
2095,3723
2092,3711
2090,3709
2090,3705
2079,3672
2072,3637
2070,3633
2070,3628
2068,3624
2056,3557
2052,3522
2048,3502
2041,3418
2040,3307
2035,3256
2029,3226
2023,3208
2020,3202
2018,3201
2015,3189
2013,3187
2009,3175
2005,3155
2003,3152
1999,3136
1997,3122
1995,3119
1990,3097
1984,3082
1984,3077
1982,3075
1978,3059
1973,3051
1973,3047
1971,3045
1971,3041
1964,3020
1962,3018
1960,3009
1958,3007
1950,2983
1913,2905
1911,2904
1896,2872
1894,2871
1884,2849
1882,2848
1876,2834
1874,2833
1868,2819
1866,2818
1837,2760
1837,2757
1832,2749
1832,2746
1828,2740
1828,2737
1822,2727
1822,2724
1815,2710
1792,2637
1788,2609
1777,2566
1770,2505
1767,2497
1767,2492
1765,2490
1762,2480
1762,2471
1765,2468
1781,2465
1792,2459
1801,2450
1801,2448
1811,2435
1817,2422
1819,2421
1824,2411
1824,2408
1826,2407
1835,2387
1837,2386
1838,2382
1840,2381
1844,2373
1847,2371
1850,2365
1857,2359
1857,2357
1879,2335
1883,2328
1896,2314
1901,2303
1916,2288
1918,2288
1922,2284
1929,2283
1935,2277
1937,2277
1938,2275
1940,2275
1941,2273
1943,2273
1956,2263
1960,2262
1964,2258
1968,2257
1972,2253
1976,2252
1980,2248
1984,2247
1988,2243
1992,2242
1993,2240
1997,2239
2003,2234
2034,2218
2034,2216
2040,2210
2054,2204
2055,2202
2062,2200
2064,2197
2077,2191
2083,2186
2095,2183
2103,2178
2110,2176
2114,2172
2117,2172
2119,2170
2126,2168
2127,2166
