x,y
2683,4150
2692,4150
2695,4153
2697,4153
2702,4160
2704,4169
2703,4186
2697,4198
2689,4207
2687,4207
2685,4210
2676,4215
2662,4218
2647,4217
2625,4210
2623,4208
2620,4209
2622,4209
2625,4213
2633,4216
2635,4219
2640,4218
2648,4223
2668,4223
2679,4220
2690,4214
2693,4210
2695,4210
2695,4208
2703,4200
2703,4197
2706,4195
2710,4199
2712,4199
2721,4209
2722,4221
2720,4224
2718,4224
2713,4229
2704,4232
2693,4232
2687,4229
2683,4229
2680,4226
2676,4226
2677,4229
2675,4231
2659,4232
2656,4233
2656,4235
2658,4237
2685,4235
2686,4237
2691,4239
2703,4240
2718,4235
2728,4225
2731,4225
2740,4232
2743,4238
2743,4248
2735,4258
2727,4262
2713,4261
2707,4256
2705,4252
2698,4252
2697,4254
2688,4252
2670,4254
2675,4259
2700,4259
2705,4265
2713,4269
2724,4270
2733,4268
2735,4266
2738,4268
2740,4275
2742,4277
2743,4286
2741,4291
2737,4294
2737,4296
2730,4299
2722,4299
2716,4296
2711,4291
2707,4281
2707,4270
2703,4272
2700,4283
2688,4280
2681,4281
2681,4284
2683,4285
2701,4287
2704,4290
2705,4295
2711,4301
2724,4307
2726,4335
2722,4339
2710,4339
2703,4335
2697,4329
2696,4325
2694,4324
2694,4313
2696,4308
2696,4301
2694,4301
2689,4309
2687,4318
2688,4324
2686,4326
2676,4327
2674,4331
2667,4336
2667,4338
2664,4340
2664,4342
2658,4348
2658,4350
2640,4366
2631,4371
2629,4374
2603,4386
2599,4386
2585,4391
2561,4395
2532,4395
2490,4388
2471,4383
2454,4381
2411,4383
2376,4390
2351,4390
2335,4386
2324,4380
2302,4359
2302,4357
2298,4353
2293,4339
2293,4327
2296,4318
2296,4312
2298,4309
2301,4294
2309,4277
2311,4276
2311,4272
2318,4259
2319,4251
2321,4249
2335,4250
2345,4246
2354,4245
2364,4240
2378,4236
2405,4234
2420,4230
2435,4229
2453,4224
2457,4221
2472,4218
2482,4218
2487,4215
2502,4217
2503,4215
2507,4214
2508,4212
2518,4207
2553,4195
2559,4190
2562,4190
2568,4185
2578,4181
2579,4179
2587,4176
2588,4174
2606,4165
2614,4163
2641,4162
