x,y
1246,1246
1246,1182
1254,1141
1262,1118
1265,1114
1265,1111
1281,1079
1283,1078
1284,1074
1286,1073
1287,1069
1295,1059
1300,1049
1311,1038
1311,1036
1315,1032
1317,1032
1325,1023
1327,1023
1329,1020
1331,1020
1332,1018
1334,1018
1335,1016
1337,1016
1338,1014
1347,1010
1350,1007
1383,996
1385,994
1437,981
1439,983
1439,987
1432,1002
1432,1008
1428,1021
1418,1103
1409,1150
1408,1169
1405,1181
1402,1213
1401,1254
1399,1256
1396,1256
1399,1265
1401,1279
1401,1297
1396,1315
1393,1319
1392,1326
1385,1343
1383,1353
1383,1377
1390,1403
1400,1421
1413,1433
1414,1455
1418,1476
1418,1486
1425,1517
1426,1532
1422,1540
1422,1543
1419,1547
1419,1550
1415,1556
1413,1564
1411,1566
1408,1578
1406,1580
1398,1607
1393,1618
1385,1651
1379,1668
1371,1700
1365,1733
1362,1777
1356,1809
1351,1820
1351,1823
1349,1825
1349,1828
1346,1832
1346,1835
1343,1839
1343,1842
1325,1878
1325,1880
1327,1881
1327,1887
1321,1905
1319,1907
1318,1914
1301,1965
1299,1967
1298,1973
1293,1983
1281,2019
1279,2021
1273,2039
1270,2043
1268,2051
1264,2057
1264,2060
1251,2085
1251,2088
1222,2146
1220,2147
1220,2150
1218,2151
1218,2154
1216,2155
1216,2158
1214,2159
1212,2166
1210,2167
1210,2170
1208,2171
1208,2174
1206,2175
1205,2180
1154,2281
1154,2284
1150,2290
1150,2293
1141,2312
1139,2321
1137,2323
1128,2356
1123,2360
1097,2360
1089,2356
1067,2354
1055,2351
1048,2347
1047,2345
1045,2345
1043,2342
1041,2342
1033,2334
1031,2334
1024,2328
1021,2328
1014,2324
1005,2323
1000,2317
996,2315
996,2311
1001,2307
1007,2295
1009,2294
1011,2286
1014,2282
1015,2276
1018,2272
1025,2251
1027,2249
1035,2224
1035,2220
1037,2217
1045,2183
1048,2177
1049,2169
1051,2166
1055,2146
1057,2143
1058,2135
1066,2111
1070,2092
1072,2089
1076,2069
1078,2066
1084,2042
1085,2032
1087,2028
1087,2023
1091,2011
1096,1980
1100,1966
1101,1954
1108,1924
1119,1851
1120,1836
1124,1816
1130,1799
1138,1785
1138,1782
1140,1781
1141,1776
1158,1742
1160,1741
1167,1724
1169,1723
1173,1715
1173,1712
1178,1704
1185,1682
1187,1680
1196,1653
1203,1624
1205,1621
1207,1608
1219,1563
1219,1558
1227,1531
1229,1517
1235,1496
1248,1407
1248,1388
1250,1375
1250,1320
1248,1306
