x,y
997,2311
1001,2311
1008,2318
1008,2320
1016,2322
1026,2327
1040,2340
1042,2340
1043,2342
1045,2342
1047,2345
1054,2349
1070,2353
1087,2354
1095,2357
1097,2357
1099,2354
1123,2355
1126,2358
1128,2369
1130,2372
1136,2403
1136,2423
1134,2439
1125,2469
1123,2471
1122,2477
1120,2479
1119,2485
1114,2495
1112,2505
1107,2517
1107,2521
1103,2529
1097,2555
1093,2585
1085,2610
1084,2618
1079,2630
1079,2634
1074,2643
1073,2649
1071,2650
1063,2667
1058,2672
1053,2672
1047,2666
1044,2657
1044,2641
1047,2625
1047,2616
1052,2599
1054,2561
1043,2560
1044,2564
1042,2565
1041,2569
1036,2575
1029,2591
1027,2592
1020,2608
1018,2609
1015,2618
1013,2619
1011,2625
1008,2627
1001,2649
999,2650
998,2654
996,2655
992,2663
992,2666
985,2678
983,2689
975,2704
965,2713
957,2716
951,2715
947,2709
952,2675
954,2673
956,2664
959,2660
959,2657
961,2655
962,2649
967,2638
968,2629
971,2621
970,2618
964,2635
964,2639
962,2641
958,2654
951,2665
947,2681
936,2705
934,2706
933,2711
931,2712
930,2716
925,2721
925,2723
916,2733
907,2734
901,2725
900,2713
912,2667
914,2653
903,2685
897,2692
893,2693
886,2691
881,2683
881,2655
891,2589
907,2526
912,2482
915,2474
919,2453
904,2467
901,2476
901,2481
897,2489
894,2491
894,2493
883,2503
881,2507
879,2507
875,2511
873,2515
871,2515
863,2523
853,2528
839,2528
834,2525
834,2516
839,2507
842,2505
842,2503
849,2495
855,2483
861,2465
864,2447
870,2434
878,2426
878,2424
887,2414
889,2409
892,2407
893,2403
903,2390
906,2382
908,2381
909,2377
911,2376
916,2366
931,2352
937,2350
942,2346
945,2346
946,2344
957,2341
977,2330
979,2327
984,2325
