x,y
2351,2351
2351,2348
2353,2346
2366,2345
2367,2347
2371,2347
2391,2342
2414,2341
2424,2339
2435,2328
2437,2328
2437,2326
2444,2320
2445,2316
2447,2317
2447,2315
2450,2314
2450,2312
2454,2308
2459,2307
2461,2310
2484,2316
2496,2322
2497,2324
2501,2325
2505,2329
2509,2330
2510,2332
2521,2338
2523,2341
2528,2343
2534,2350
2536,2350
2538,2354
2548,2364
2549,2368
2551,2369
2556,2379
2571,2394
2571,2396
2575,2399
2575,2401
2583,2409
2586,2415
2592,2420
2592,2422
2601,2432
2614,2483
2618,2490
2620,2491
2620,2493
2622,2494
2623,2498
2626,2500
2628,2505
2635,2513
2634,2515
2618,2516
2608,2513
2604,2508
2602,2508
2578,2484
2569,2458
2559,2449
2549,2444
2538,2432
2536,2433
2536,2436
2548,2448
2549,2451
2551,2464
2557,2484
2561,2521
2565,2542
2573,2570
2579,2606
2582,2615
2583,2632
2587,2648
2588,2672
2580,2680
2573,2680
2570,2677
2568,2677
2560,2665
2552,2640
2550,2638
2550,2634
2543,2615
2542,2607
2540,2604
2535,2584
2533,2582
2532,2577
2529,2574
2516,2533
2514,2532
2514,2537
2519,2552
2519,2556
2525,2574
2532,2586
2539,2615
2546,2634
2546,2638
2569,2700
2569,2709
2566,2716
2560,2718
2555,2717
2541,2706
2540,2702
2535,2696
2535,2693
2529,2683
2529,2680
2526,2674
2524,2673
2523,2668
2516,2655
2508,2631
2506,2629
2500,2611
2492,2595
2488,2581
2485,2578
2484,2573
2474,2555
2472,2555
2472,2557
2475,2561
2479,2574
2484,2584
2486,2585
2486,2589
2492,2604
2494,2615
2502,2631
2507,2648
2511,2654
2511,2658
2513,2659
2513,2662
2519,2675
2519,2679
2523,2690
2519,2699
2511,2700
2507,2698
2494,2683
2488,2670
2486,2669
2484,2664
2481,2662
2479,2656
2477,2655
2468,2633
2466,2632
2464,2626
2461,2624
2460,2620
2458,2619
2457,2615
2455,2614
2454,2610
2449,2604
2445,2596
2445,2593
2442,2589
2442,2586
2440,2584
2440,2581
2437,2577
2433,2564
2425,2549
2411,2549
2411,2558
2417,2594
2424,2622
2426,2650
2424,2655
2421,2658
2419,2658
2414,2656
2407,2648
2407,2645
2398,2627
2394,2611
2391,2605
2388,2590
2385,2584
2379,2558
2375,2548
2369,2518
2365,2512
2358,2491
2356,2489
2355,2483
2353,2481
2342,2448
2342,2443
2340,2440
2338,2430
2336,2413
2337,2395
