x,y
2059,982
2070,984
2074,987
2085,990
2091,994
2094,994
2112,1003
2113,1005
2117,1006
2125,1013
2127,1013
2130,1017
2132,1017
2153,1037
2153,1039
2158,1043
2161,1049
2168,1056
2183,1082
2204,1145
2208,1163
2211,1189
2211,1288
2213,1361
2222,1423
2223,1439
2226,1452
2226,1460
2235,1507
2239,1523
2241,1526
2241,1530
2243,1533
2243,1537
2261,1587
2268,1615
2274,1626
2274,1629
2276,1631
2284,1654
2288,1660
2296,1683
2302,1693
2302,1696
2318,1728
2318,1731
2334,1761
2334,1764
2340,1774
2340,1777
2346,1790
2355,1831
2356,1844
2363,1879
2363,1887
2370,1923
2371,1940
2376,1966
2380,2001
2382,2005
2384,2023
2394,2064
2394,2069
2416,2146
2418,2148
2429,2184
2431,2186
2439,2212
2441,2214
2444,2226
2446,2228
2453,2252
2455,2254
2462,2276
2464,2278
2464,2281
2466,2283
2466,2286
2468,2288
2468,2291
2471,2295
2471,2298
2475,2306
2475,2309
2473,2311
2455,2311
2450,2318
2446,2318
2445,2320
2443,2320
2430,2333
2428,2333
2424,2338
2419,2340
2397,2341
2378,2345
2369,2349
2357,2350
2354,2350
2346,2345
2341,2335
2341,2332
2338,2328
2338,2325
2331,2311
2329,2310
2309,2268
2307,2267
2303,2259
2303,2256
2299,2250
2299,2247
2274,2199
2274,2196
2267,2184
2264,2174
2253,2152
2244,2126
2235,2109
2230,2092
2222,2076
2220,2068
2217,2064
2216,2058
2214,2056
2214,2053
2212,2051
2212,2048
2210,2046
2210,2043
2203,2029
2203,2026
2201,2024
2201,2021
2199,2019
2199,2016
2197,2014
2197,2011
2195,2009
2195,2006
2193,2004
2193,2001
2183,1979
2182,1973
2176,1961
2165,1927
2163,1925
2157,1906
2155,1904
2148,1879
2146,1877
2145,1871
2140,1860
2139,1851
2128,1807
2126,1783
2118,1741
2117,1727
2110,1697
2108,1694
2106,1681
2093,1644
2090,1629
2080,1602
2076,1584
2064,1552
2063,1543
2049,1506
2052,1482
2056,1466
2058,1445
2063,1423
2064,1405
2075,1382
2080,1360
2080,1329
2075,1289
2073,1284
2073,1268
2079,1254
2075,1252
2074,1193
2071,1170
2071,1086
2067,1044
2067,1028
2064,1008
2057,987
2057,984
