x,y
2349,3929
2341,3919
2340,3913
2333,3909
2314,3888
2309,3878
2307,3877
2305,3870
2302,3868
2300,3862
2288,3847
2287,3843
2281,3836
2280,3832
2278,3831
2269,3813
2267,3812
2264,3804
2261,3801
2261,3798
2256,3790
2256,3787
2253,3783
2246,3762
2244,3760
2239,3745
2238,3737
2236,3734
2222,3674
2217,3635
2210,3605
2203,3561
2200,3553
2200,3548
2197,3542
2195,3529
2189,3516
2185,3500
2181,3491
2181,3487
2172,3462
2166,3436
2164,3413
2152,3391
2152,3388
2146,3376
2128,3319
2126,3317
2124,3308
2122,3306
2117,3289
2112,3279
2102,3247
2100,3245
2096,3232
2089,3220
2089,3217
2079,3199
2079,3196
2058,3154
2056,3153
2052,3143
2050,3142
2038,3116
2036,3115
2033,3107
2031,3106
2025,3094
2020,3089
2020,3087
2012,3077
2011,3073
2009,3072
2009,3070
2007,3069
2007,3067
2005,3066
2005,3064
2003,3063
1995,3049
1992,3047
1990,3042
1987,3040
1985,3035
1982,3033
1982,3031
1972,3018
1971,3014
1964,3005
1957,2991
1948,2979
1939,2961
1937,2960
1934,2952
1932,2951
1923,2933
1923,2930
1905,2896
1898,2875
1898,2871
1893,2859
1893,2855
1890,2849
1883,2817
1876,2800
1864,2741
1857,2727
1851,2707
1841,2685
1842,2683
1854,2681
1859,2677
1863,2676
1865,2673
1867,2673
1877,2664
1877,2662
1882,2657
1884,2651
1886,2650
1890,2642
1890,2639
1893,2635
1893,2632
1895,2630
1895,2627
1897,2625
1897,2622
1900,2618
1900,2615
1903,2611
1903,2608
1907,2602
1911,2589
1913,2587
1927,2545
1929,2543
1933,2529
1935,2527
1942,2506
1944,2504
1945,2498
1947,2496
1948,2490
1950,2488
1951,2482
1953,2480
1957,2465
1959,2463
1970,2430
1972,2428
1983,2390
1989,2381
1992,2363
1999,2356
1999,2354
2006,2348
2006,2346
2012,2341
2012,2339
2017,2335
2017,2333
2022,2329
2022,2327
2026,2324
2026,2322
2030,2319
2034,2312
2038,2309
2038,2307
2045,2299
2045,2296
2042,2296
2042,2298
2037,2302
2037,2304
2030,2310
2030,2312
2023,2318
2023,2320
2016,2326
2016,2328
2010,2333
2010,2335
1997,2348
2000,2336
2009,2319
2014,2304
2030,2300
2034,2297
2040,2296
2050,2291
2054,2291
2056,2289
2072,2286
2075,2284
2094,2280
2103,2276
2111,2275
2118,2272
2124,2272
2128,2270
2134,2270
