x,y
2149,2265
2153,2265
2159,2313
2163,2421
2165,2421
2166,2399
2168,2399
2191,2476
2193,2478
2198,2496
2200,2498
2221,2561
2223,2563
2224,2569
2232,2586
2233,2592
2235,2594
2236,2600
2238,2602
2239,2608
2244,2618
2247,2630
2252,2640
2254,2649
2256,2651
2260,2666
2262,2668
2266,2686
2276,2713
2276,2717
2286,2743
2302,2808
2311,2836
2323,2887
2326,2893
2327,2901
2329,2904
2329,2908
2331,2911
2331,2915
2334,2921
2335,2929
2337,2932
2337,2936
2339,2939
2339,2943
2341,2946
2341,2950
2351,2981
2354,3001
2357,3054
2357,3092
2353,3175
2354,3198
2363,3247
2370,3269
2372,3281
2374,3284
2379,3309
2383,3318
2383,3322
2386,3328
2392,3352
2395,3375
2397,3430
2405,3472
2410,3487
2413,3487
2411,3470
2411,3468
2413,3468
2423,3488
2423,3491
2428,3499
2428,3502
2431,3506
2438,3526
2445,3538
2445,3541
2449,3549
2451,3550
2454,3558
2458,3562
2466,3578
2468,3579
2472,3588
2474,3589
2480,3601
2482,3602
2484,3608
2486,3609
2491,3620
2493,3621
2498,3633
2500,3634
2502,3640
2504,3641
2506,3647
2508,3648
2516,3664
2516,3667
2521,3675
2521,3678
2525,3684
2533,3707
2535,3709
2540,3729
2546,3745
2546,3749
2561,3793
2572,3838
2576,3847
2593,3925
2597,3935
2614,4003
2617,4009
2617,4013
2620,4019
2620,4023
2622,4026
2622,4030
2632,4061
2637,4088
2639,4091
2644,4113
2649,4124
2652,4136
2654,4138
2655,4144
2658,4148
2665,4168
2675,4188
2675,4191
2682,4205
2684,4213
2689,4219
2689,4221
2694,4225
2694,4227
2701,4234
2707,4237
2711,4242
2713,4242
2720,4249
2720,4251
2732,4262
2732,4264
2737,4268
2738,4271
2745,4275
2768,4283
2770,4285
2780,4287
2786,4290
2786,4292
2776,4302
2770,4314
2764,4315
2753,4320
2739,4331
2739,4333
2732,4341
2728,4351
2726,4352
2723,4360
2721,4361
2719,4367
2716,4369
2715,4372
2709,4372
2703,4375
2703,4377
2696,4377
2712,4357
2712,4355
2709,4355
2705,4359
2705,4361
2697,4368
2697,4370
2695,4370
2686,4380
2684,4380
2682,4384
2678,4386
2675,4385
2674,4387
2670,4386
2670,4388
2665,4387
2664,4389
2657,4388
2653,4390
2629,4390
2627,4392
2619,4391
2619,4393
2617,4392
2613,4395
2609,4395
2609,4397
2605,4396
2605,4398
2595,4397
2595,4399
2585,4399
2584,4377
2579,4355
2577,4354
2572,4344
2562,4313
2550,4290
2547,4272
2544,4268
2544,4265
2539,4255
2537,4254
2528,4234
2526,4233
2520,4219
2518,4218
2516,4212
2514,4211
2513,4207
2511,4206
2511,4204
2509,4203
2509,4201
2507,4200
2506,4196
2501,4191
2499,4186
2489,4175
2489,4173
2477,4161
2477,4159
2474,4157
2470,4149
2466,4146
2466,4144
2463,4142
2463,4140
2460,4138
2460,4136
2457,4134
2454,4128
2443,4116
2441,4111
2438,4109
2436,4104
2433,4102
2433,4100
2430,4098
2428,4093
2425,4091
2425,4089
2419,4082
2392,4029
2386,4010
2375,3989
2375,3986
2373,3984
2373,3981
2371,3979
2363,3956
2353,3936
2351,3935
