x,y
1472,2240
1484,2241
1496,2245
1517,2255
1542,2261
1544,2263
1571,2272
1582,2279
1586,2279
1592,2293
1594,2294
1597,2302
1599,2303
1603,2313
1606,2316
1606,2318
1604,2318
1605,2325
1612,2343
1612,2347
1617,2359
1621,2376
1630,2403
1632,2405
1633,2411
1635,2413
1636,2419
1638,2421
1641,2433
1643,2435
1646,2447
1648,2449
1654,2467
1658,2473
1658,2476
1666,2492
1668,2493
1683,2525
1685,2526
1690,2536
1690,2539
1699,2555
1699,2558
1722,2602
1722,2605
1726,2613
1730,2618
1730,2621
1736,2631
1736,2634
1747,2656
1749,2657
1753,2665
1764,2676
1775,2681
1782,2682
1783,2685
1773,2707
1769,2722
1760,2741
1749,2796
1740,2820
1734,2849
1731,2855
1731,2859
1726,2871
1726,2875
1719,2896
1682,2969
1680,2970
1676,2979
1667,2991
1666,2995
1659,3004
1650,3021
1648,3022
1642,3033
1639,3035
1637,3040
1634,3042
1632,3047
1629,3049
1629,3051
1627,3052
1627,3054
1625,3055
1625,3057
1613,3073
1612,3077
1610,3078
1604,3089
1599,3094
1598,3098
1591,3107
1588,3115
1586,3116
1568,3153
1566,3154
1525,3239
1513,3276
1511,3278
1505,3298
1503,3300
1498,3317
1496,3319
1475,3384
1454,3427
1452,3428
1450,3434
1448,3435
1447,3439
1443,3444
1442,3455
1438,3468
1440,3467
1443,3461
1445,3461
1445,3463
1443,3466
1443,3470
1436,3491
1436,3496
1433,3503
1424,3552
1422,3556
1415,3599
1408,3629
1399,3689
1385,3745
1380,3760
1378,3762
1377,3768
1371,3780
1371,3783
1363,3798
1363,3801
1361,3802
1357,3812
1355,3813
1353,3819
1351,3820
1343,3836
1341,3837
1341,3839
1339,3840
1339,3842
1337,3843
1336,3847
1331,3852
1329,3857
1326,3859
1324,3864
1321,3866
1321,3868
1309,3880
1307,3880
1297,3891
1295,3891
1289,3898
1287,3898
1283,3903
1281,3903
1277,3908
1275,3908
1271,3916
1255,3934
1256,3936
1258,3933
1260,3933
1262,3930
1264,3930
1266,3927
1272,3924
1275,3920
1277,3920
1280,3916
1284,3915
1283,3919
1275,3929
1261,3956
1261,3959
1259,3961
1259,3964
1257,3966
1249,3989
1238,4010
1232,4029
1205,4082
1203,4083
1199,4091
1196,4093
1194,4098
1191,4100
1191,4102
1188,4104
1186,4109
1183,4111
1181,4116
1173,4124
1173,4126
1170,4128
1170,4130
1167,4132
1167,4134
1164,4136
1164,4138
1161,4140
1158,4146
1154,4149
1154,4151
1138,4169
1138,4171
1131,4178
1131,4180
1128,4182
1128,4184
1125,4186
1123,4191
1116,4199
1115,4203
1112,4206
1104,4230
1102,4231
1099,4239
1097,4240
1096,4244
1094,4245
1090,4253
1087,4255
1083,4263
1078,4268
1064,4298
1062,4299
1058,4307
1058,4310
1055,4314
1055,4317
1052,4321
1047,4338
1042,4364
1042,4371
1040,4376
1039,4401
997,4399
993,4402
986,4404
968,4404
952,4399
946,4395
926,4394
921,4391
918,4391
914,4387
912,4383
913,4380
907,4368
905,4367
892,4341
885,4333
885,4331
871,4320
860,4315
854,4314
850,4305
848,4304
846,4299
838,4292
838,4290
854,4285
856,4283
859,4283
861,4281
864,4281
886,4271
887,4268
893,4263
893,4261
905,4250
905,4248
930,4227
930,4225
935,4221
935,4219
940,4213
947,4193
950,4189
950,4186
957,4173
957,4170
964,4156
966,4148
969,4144
970,4138
972,4136
974,4127
976,4125
980,4113
985,4091
987,4088
992,4061
994,4058
995,4050
1000,4037
1004,4019
1007,4013
1007,4009
1010,4003
1022,3954
1027,3940
1029,3928
1031,3925
1048,3847
1052,3838
1063,3793
1068,3781
1068,3777
1078,3749
1080,3738
1084,3729
1084,3725
1091,3704
1093,3702
1097,3689
1100,3685
1103,3675
1108,3667
1108,3664
1116,3648
1118,3647
1120,3641
1126,3633
1130,3623
1132,3622
1142,3602
1144,3601
1148,3592
1150,3591
1159,3574
1161,3573
1162,3569
1164,3568
1166,3562
1170,3558
1173,3550
1175,3549
1179,3541
1179,3538
1189,3519
1196,3499
1201,3491
1201,3488
1211,3468
1213,3468
1211,3487
1214,3487
1219,3472
1226,3439
1228,3420
1229,3375
1233,3347
1238,3332
1238,3328
1241,3322
1241,3318
1245,3309
1250,3284
1252,3281
1254,3269
1261,3247
1270,3198
1271,3175
1267,3091
1267,3054
1270,3001
1273,2981
1281,2957
1281,2953
1283,2950
1283,2946
1285,2943
1295,2904
1297,2901
1298,2893
1301,2887
1313,2836
1315,2833
1320,2811
1324,2801
1324,2796
1329,2781
1332,2765
1334,2762
1336,2750
1338,2747
1338,2743
1349,2714
1349,2710
1358,2686
1358,2682
1361,2676
1361,2672
1368,2651
1370,2649
1372,2640
1377,2630
1379,2621
1381,2619
1392,2586
1394,2584
1401,2563
1403,2561
1405,2552
1410,2542
1416,2521
1418,2519
1424,2498
1426,2496
1431,2478
1433,2476
1438,2461
1438,2457
1444,2442
1444,2438
1456,2402
1461,2379
1461,2369
1463,2369
1465,2387
1466,2389
1468,2389
1466,2348
1466,2292
