x,y
728,4242
742,4243
755,4248
756,4250
760,4251
765,4256
767,4256
771,4261
773,4261
786,4273
790,4273
790,4269
782,4261
781,4257
785,4257
796,4262
803,4269
806,4276
808,4277
812,4285
815,4287
815,4289
819,4292
819,4294
829,4303
834,4305
835,4303
829,4296
829,4293
832,4295
832,4297
836,4300
836,4302
842,4309
851,4326
857,4332
859,4332
858,4324
861,4324
867,4329
869,4329
871,4332
873,4332
879,4338
897,4370
908,4381
912,4381
911,4384
913,4384
912,4386
916,4388
916,4391
918,4390
917,4392
920,4391
920,4393
922,4392
922,4394
924,4393
925,4395
929,4394
935,4396
950,4395
961,4402
964,4401
962,4400
962,4398
960,4398
960,4396
963,4396
963,4398
982,4398
984,4400
996,4399
1002,4401
1008,4400
1023,4402
1040,4401
1039,4403
1053,4402
1051,4408
1051,4422
1055,4436
1058,4439
1064,4451
1064,4458
1061,4470
1062,4491
1059,4502
1053,4514
1045,4522
1043,4522
1040,4526
1038,4526
1032,4531
1014,4537
997,4539
985,4537
970,4532
954,4524
951,4524
945,4520
942,4520
928,4512
907,4506
893,4507
871,4513
857,4514
830,4511
827,4509
808,4505
786,4504
763,4500
744,4493
743,4491
732,4485
730,4482
728,4482
724,4477
722,4477
720,4473
717,4470
715,4470
712,4467
712,4465
706,4460
701,4451
701,4447
695,4429
694,4413
686,4411
682,4407
680,4402
678,4402
680,4394
680,4382
677,4376
674,4376
672,4390
666,4401
662,4403
655,4403
647,4397
645,4392
645,4384
650,4373
659,4373
669,4367
674,4372
684,4372
685,4374
687,4374
689,4367
689,4358
687,4358
683,4364
674,4364
673,4361
675,4360
677,4354
676,4346
674,4346
671,4353
666,4359
664,4359
662,4362
658,4364
650,4364
646,4362
641,4356
640,4342
646,4329
648,4329
656,4337
662,4339
671,4339
681,4335
685,4339
691,4341
698,4341
700,4345
702,4345
705,4342
704,4334
686,4332
685,4324
678,4324
678,4326
675,4327
674,4329
664,4330
659,4328
654,4323
652,4319
652,4303
658,4294
666,4291
668,4291
669,4297
673,4305
681,4313
687,4314
692,4317
705,4315
709,4320
713,4322
723,4324
728,4327
735,4327
732,4320
729,4319
728,4317
711,4313
711,4308
707,4305
706,4302
700,4306
690,4306
682,4300
678,4292
679,4279
685,4271
694,4266
703,4265
703,4272
709,4289
723,4306
743,4315
748,4314
749,4309
733,4302
722,4292
713,4274
713,4255
719,4246
