x,y
2887,4242
2896,4242
2905,4246
2909,4251
2912,4259
2912,4270
2908,4282
2904,4289
2902,4290
2902,4292
2895,4299
2893,4299
2890,4303
2886,4305
2887,4311
2892,4311
2901,4306
2904,4303
2905,4299
2915,4289
2915,4286
2920,4276
2921,4265
2930,4266
2939,4271
2946,4282
2946,4292
2944,4294
2944,4297
2938,4304
2934,4306
2924,4306
2918,4302
2912,4308
2914,4310
2913,4313
2896,4317
2893,4320
2892,4324
2894,4326
2898,4326
2915,4320
2919,4315
2933,4317
2936,4316
2937,4314
2943,4313
2951,4305
2955,4297
2955,4293
2956,4291
2958,4291
2966,4294
2972,4303
2972,4319
2970,4323
2965,4328
2960,4330
2950,4329
2949,4327
2946,4326
2946,4324
2938,4324
2938,4332
2920,4334
2920,4340
2918,4341
2919,4346
2922,4348
2926,4341
2933,4341
2939,4339
2943,4335
2953,4339
2962,4339
2971,4335
2976,4329
2979,4330
2984,4342
2983,4356
2978,4362
2974,4364
2966,4364
2962,4362
2955,4356
2950,4346
2948,4346
2947,4354
2951,4363
2948,4365
2941,4364
2932,4353
2930,4354
2930,4360
2934,4367
2936,4368
2935,4370
2932,4370
2934,4375
2938,4375
2940,4372
2950,4372
2955,4367
2965,4373
2974,4373
2979,4384
2979,4392
2977,4397
2973,4401
2969,4403
2962,4403
2956,4399
2952,4390
2950,4376
2947,4376
2944,4382
2944,4394
2946,4402
2941,4404
2937,4403
2935,4405
2930,4405
2930,4423
2923,4451
2918,4460
2912,4465
2912,4467
2909,4470
2907,4470
2904,4473
2903,4476
2901,4476
2896,4482
2891,4484
2889,4487
2887,4487
2880,4493
2870,4496
2868,4498
2852,4502
2816,4505
2797,4509
2794,4511
2766,4514
2748,4512
2731,4507
2717,4506
2696,4512
2682,4520
2679,4520
2673,4524
2670,4524
2654,4532
2639,4537
2627,4539
2610,4537
2592,4531
2591,4529
2584,4526
2581,4522
2579,4522
2571,4514
2565,4502
2562,4491
2563,4470
2560,4458
2560,4451
2563,4447
2563,4444
2565,4443
2566,4439
2569,4436
2573,4422
2573,4408
2571,4402
2576,4402
2576,4400
2585,4403
2585,4400
2588,4400
2589,4398
2605,4398
2606,4396
2609,4397
2609,4395
2616,4395
2617,4392
2619,4393
2621,4391
2627,4392
2632,4390
2653,4390
2677,4386
2673,4391
2674,4393
2682,4389
2693,4378
2700,4378
2700,4376
2706,4376
2708,4375
2707,4373
2713,4373
2713,4371
2716,4372
2711,4381
2715,4381
2717,4378
2721,4377
2724,4372
2727,4372
2729,4365
2733,4361
2741,4344
2746,4339
2746,4337
2763,4324
2766,4324
2765,4332
2767,4332
2773,4326
2778,4316
2780,4315
2782,4309
2784,4308
2788,4300
2792,4297
2792,4295
2795,4293
2795,4296
2789,4303
2790,4305
2795,4303
2806,4293
2806,4291
2810,4288
2810,4286
2818,4276
2821,4269
2828,4262
2830,4262
2833,4259
2843,4257
2842,4261
2834,4269
2834,4273
2838,4273
2864,4251
2876,4245
