x,y
2519,2519
2524,2517
2536,2518
2538,2516
2544,2515
2545,2511
2558,2507
2576,2504
2593,2504
2605,2506
2620,2511
2661,2531
2676,2545
2678,2545
2692,2557
2699,2560
2700,2562
2702,2562
2711,2569
2711,2571
2717,2577
2722,2588
2736,2601
2736,2603
2740,2606
2745,2615
2752,2622
2752,2624
2755,2626
2758,2632
2763,2636
2763,2638
2778,2650
2778,2652
2781,2654
2789,2668
2804,2682
2806,2682
2808,2685
2810,2685
2818,2692
2820,2692
2829,2702
2829,2708
2826,2711
2814,2716
2800,2716
2773,2706
2763,2704
2757,2701
2755,2698
2753,2698
2734,2678
2732,2678
2722,2668
2709,2661
2704,2660
2697,2654
2685,2649
2685,2653
2693,2657
2685,2656
2684,2660
2697,2662
2704,2665
2698,2686
2696,2701
2695,2691
2697,2675
2700,2667
2699,2664
2697,2664
2694,2669
2691,2688
2692,2709
2694,2713
2694,2756
2700,2859
2698,2896
2699,2944
2697,2954
2691,2960
2683,2960
2682,2958
2680,2958
2674,2952
2670,2945
2664,2918
2662,2886
2656,2865
2656,2859
2654,2855
2648,2819
2644,2810
2643,2800
2633,2799
2635,2821
2638,2829
2642,2851
2644,2874
2644,2901
2646,2906
2646,2914
2652,2946
2655,2985
2654,2999
2652,3000
2648,3008
2645,3010
2635,3008
2629,3003
2629,3001
2625,2997
2619,2980
2611,2944
2606,2907
2603,2901
2600,2886
2596,2876
2595,2866
2593,2862
2591,2847
2588,2839
2582,2809
2577,2810
2580,2828
2580,2842
2584,2853
2588,2875
2589,2912
2593,2926
2595,2941
2597,2944
2600,2957
2600,2971
2592,2983
2581,2984
2575,2980
2575,2978
2570,2972
2562,2948
2558,2942
2555,2931
2555,2925
2550,2914
2538,2861
2531,2842
2527,2815
2513,2808
2508,2803
2504,2795
2502,2800
2500,2820
2498,2820
2498,2817
2495,2818
2498,2832
2498,2849
2495,2882
2501,2910
2500,2928
2494,2933
2485,2932
2477,2923
2472,2909
2471,2900
2465,2878
2463,2827
2461,2813
2460,2766
2452,2723
2451,2680
2446,2634
2445,2604
2451,2591
2451,2588
2459,2574
2462,2563
2469,2554
2469,2552
2471,2551
2471,2549
2483,2538
2487,2538
2495,2531
