x,y
1263,1263
1276,1237
1289,1221
1291,1221
1301,1211
1303,1211
1305,1208
1307,1208
1309,1205
1314,1203
1321,1196
1323,1196
1325,1193
1331,1190
1372,1151
1390,1142
1391,1165
1396,1185
1397,1227
1401,1282
1401,1302
1404,1329
1405,1370
1410,1419
1409,1472
1410,1481
1414,1492
1414,1496
1416,1498
1417,1505
1420,1509
1424,1524
1429,1532
1429,1535
1433,1543
1432,1559
1434,1562
1434,1567
1421,1611
1421,1623
1426,1650
1426,1671
1423,1695
1415,1729
1414,1744
1406,1789
1404,1814
1399,1843
1395,1857
1392,1881
1390,1886
1384,1932
1381,1938
1381,1942
1379,1945
1379,1949
1370,1977
1370,1981
1372,1981
1375,1971
1376,1969
1378,1969
1377,2012
1379,2027
1379,2049
1377,2059
1371,2071
1369,2072
1367,2078
1365,2079
1364,2083
1362,2084
1361,2088
1359,2089
1358,2093
1356,2094
1355,2098
1351,2103
1353,2105
1362,2096
1359,2105
1352,2146
1350,2149
1349,2156
1344,2165
1344,2168
1339,2178
1333,2185
1332,2189
1330,2190
1330,2192
1328,2193
1328,2195
1316,2211
1314,2217
1312,2218
1307,2229
1298,2241
1294,2250
1288,2257
1287,2261
1285,2262
1284,2266
1279,2272
1274,2283
1272,2284
1263,2303
1261,2304
1249,2328
1243,2336
1219,2385
1217,2393
1214,2397
1214,2400
1211,2404
1208,2415
1198,2437
1178,2497
1178,2501
1175,2507
1171,2524
1168,2543
1168,2555
1166,2559
1163,2552
1156,2545
1154,2545
1144,2537
1141,2537
1141,2539
1148,2546
1145,2546
1126,2537
1119,2531
1119,2529
1103,2522
1101,2519
1097,2518
1093,2514
1078,2509
1077,2507
1062,2506
1062,2504
1059,2503
1049,2502
1023,2502
1011,2507
1009,2507
1009,2505
1013,2501
1023,2480
1025,2479
1031,2462
1033,2460
1034,2454
1036,2452
1045,2425
1045,2421
1049,2412
1053,2393
1055,2390
1066,2346
1068,2343
1076,2311
1076,2306
1080,2294
1080,2289
1088,2261
1100,2183
1102,2161
1118,2090
1124,2072
1126,2070
1127,2064
1133,2052
1134,2046
1145,2025
1150,2010
1162,1988
1165,1975
1167,1973
1168,1967
1170,1965
1174,1953
1174,1949
1176,1946
1176,1942
1178,1939
1180,1927
1184,1916
1199,1824
1203,1764
1209,1711
1211,1666
1220,1619
1221,1598
1224,1583
1226,1587
1227,1600
1229,1600
1230,1598
1230,1573
1228,1561
1226,1557
1226,1552
1224,1548
1219,1523
1214,1508
1214,1503
1211,1495
1211,1489
1207,1474
1205,1455
1205,1426
1211,1392
1224,1351
1226,1349
1227,1343
1234,1329
1234,1326
1237,1322
1237,1319
1244,1306
1250,1288
