Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
ABCB11,1.88197921,0.574115399,0.606624044,0.653797757,4.918831191
ABCB4,1.624211027,1.805315739,1.664604749,1.512865681,5.83274075
ABCB5,0.074062466,0.231173211,0.089762973,0.028766672,4.949034301
ABCB6,0.85750715,0.697288074,0.598434403,0.418942637,5.426024952
ABCB7,22.60119837,19.84638555,18.27775971,17.90905224,20.88268022
ABCB8,11.64045528,9.144241406,7.728968759,6.528478439,14.153138
ABCB9,12.61515081,12.16728336,12.37713727,11.56434158,19.36227477
ABCC1,20.82199775,15.31429848,15.55485076,13.88348101,23.7399319
ABCC10,6.028150536,6.771552703,6.234184532,5.499557919,11.89323545
ABCC11,2.662916244,6.225855201,1.733251198,1.510769268,5.699966391
ABCC12,0.075365663,0.059727002,0.021296339,0.001649818,4.824175277
ABCC2,0.772817879,0.957427915,0.978968767,0.794599095,5.901453848
ABCC3,8.858323984,8.161343557,4.737581128,2.41453411,11.48554295
ABCC4,4.929114394,7.004796744,4.133983697,2.814023302,7.012465121
ABCC5,11.41469586,9.948726697,13.72516407,15.04246361,18.28475801
ABCC6,0.971841677,0.740269552,0.75657007,1.151665372,5.05033761
ABCC6P1,0.268079164,0.212622088,0.152682708,0.201802113,4.865983278
ABCC6P2,0.399317525,0.145426345,0.364460962,0.450726344,4.924244084
ABCC8,0.208780967,0.306541627,0.602044778,0.972890814,4.951799306
ABCC9,7.109602759,8.099302024,10.10282354,12.46099287,9.895654481
ABCD1,7.776285689,5.993652235,6.119185407,6.470236691,10.09878167
ABCD2,1.522708073,0.607967061,1.954375434,3.402366145,5.126974673
ABCD3,42.25415741,35.41936782,24.46465308,21.40357179,25.49806467
ABCD4,10.85575048,12.1601819,9.880800405,8.873970421,14.21194492
ABCE1,35.16856625,29.44658897,27.29858654,26.43977366,26.48759202
ABCF1,36.29186041,35.45999387,32.7804848,31.92326946,33.11740259
ABCF2,7.413707991,7.553742256,6.349745211,5.892003879,11.06485448
ABCF3,24.23727069,24.21043757,21.91090307,20.80835374,25.02655657
ABCG1,10.87567033,12.29230022,11.13860561,11.18249137,11.18236589
ABCG2,2.646373664,1.807832281,2.646928595,2.800541217,6.771179848
ABCG4,0.44810705,0.27696185,0.745095023,0.390286458,7.31595753
ABCG5,0.130930651,0.123065376,0.109262653,0.095353755,4.901532719
ABCG8,0.154425336,0.113627189,0.087607979,0.123607974,4.857776032
ABHD1,0.866378872,0.798828455,0.808257873,0.774628763,5.884292252
ABHD10,22.96120013,23.07932782,22.95960442,23.54474498,22.82555708
ABHD11,17.81627843,23.47559479,18.80568931,19.26924048,21.40951413
ABHD12,55.04306345,55.37236082,42.76517573,38.44084323,43.95732664
ABHD12B,31.03720544,27.91307005,9.234089111,4.008206585,14.35275335
