Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
ABCG2,2.62956296,1.835167532,3.006291939,2.90301952,4.178911476
ABCG4,0.432225205,0.217079025,0.218499512,0.389329545,2.039013455
ABCG5,0.113333611,0.098012882,0.14593821,0.096169823,0.008991471
ABCG8,0.131240728,0.127494127,0.04261468,0.124271297,0.072345591
ABHD1,0.810863865,0.844017698,0.686201056,0.756345172,0.746407633
ABHD10,21.90182334,22.83367438,25.09893477,24.1314243,20.83141835
ABHD11,17.58418667,24.43179189,19.7893782,18.33762127,14.88308881
ABHD12,56.01552053,55.32847174,52.41842607,38.56112943,54.49186901
ABHD12B,31.89644834,26.0521523,17.95041605,4.072244485,17.24852926
ABHD13,15.64149444,14.34198617,15.92639136,14.56772486,16.33917989
ABHD14A,17.58933935,13.48207937,12.7446639,13.83981187,13.26485843
ABHD14B,49.228875,42.02005374,35.93200634,35.46886195,32.37362393
ABHD15,13.16654117,10.58752487,10.85708766,14.9451891,12.12372042
ABHD16A,1.586067172,1.570261391,1.485064152,0.679340525,0.934911663
ABHD16B,7.485029691,5.671370695,5.671443237,6.279447587,6.719109463
ABHD17A,58.82827575,64.56408246,66.19569279,56.25881881,63.70228941
ABHD17AP1,1.100460063,1.310355905,1.315795387,1.216822521,0.843929123
ABHD17AP6,0.454465475,0.440969561,0.388610383,0.49735663,0.390204362
ABHD17B,21.78386565,19.54734215,21.00454937,18.43434871,20.07472378
ABHD17C,26.8007414,22.47663739,17.88208451,14.62252575,22.01391165
ABHD18,5.735230325,4.383015373,5.113634504,4.533216768,6.113573248
ABHD2,23.52257868,27.0099944,29.68624576,30.7449265,23.67138781
ABHD3,11.35041926,8.408759077,7.45311036,5.644362757,6.593218011
ABHD4,19.06829528,17.60660694,20.35608635,21.26608222,20.84750905
ABHD5,343.3990948,128.8738619,82.35898948,48.79677912,154.768863
ABHD6,39.93866975,35.58349602,27.60760339,12.9791052,32.34781125
ABHD8,29.5887513,20.56862371,19.55861814,17.88859954,23.70021059
ABI1,60.0561167,57.63922161,62.70329749,50.49823152,65.18173723
ABI2,8.590767652,9.311072925,10.39056814,10.45069643,9.544367168
ABI3,9.073630269,8.804751632,9.580355921,8.295063471,9.665839079
ABI3BP,19.25143145,19.01258558,33.05939723,36.63959631,31.24882762
ABL1,39.00974002,37.33212246,44.55394812,50.41686536,49.73720742
ABL2,5.448659944,4.93277227,6.982488892,6.496951462,5.535559779
ABLIM1,87.37639578,84.3557939,88.80167491,68.82815211,106.9612164
ABLIM2,3.66260852,4.737384382,5.711385744,4.82664733,3.079285529
ABLIM3,8.288015095,9.522348858,11.29195047,14.25408333,10.74080879
ABO,2.55228945,4.597347335,3.548456778,3.080176412,1.773755009
ABR,26.1042479,29.90558971,30.71513927,23.74382931,28.68135337
ABRA,0.71546765,0.228010868,0.04558826,0.113483302,0.77401536
ABRACL,66.33946278,43.69704224,38.8268812,25.53887659,43.63271474
ABT1,32.96598638,35.45070891,36.57279395,29.88467453,37.75298544
ABTB1,14.82169568,16.00831517,15.0096127,17.53786894,11.31966743
ABTB2,16.89196382,10.98520068,11.55207425,11.52006465,11.58759245
ACAA1,53.41571803,29.63359499,22.40647649,18.47911973,29.24272103
ACAA2,74.4901251,27.15381207,19.3053382,19.76524835,20.8529299
ACACA,25.8008975,15.93421781,13.47567071,13.72682525,21.22795733
ACACB,17.56735191,10.45830686,11.46104853,21.28317679,9.47887642
ACAD10,7.420216251,7.262891263,6.948065779,5.866318661,5.25481873
ACAD11,2.332784493,1.632038415,2.221478485,1.499592651,1.326376495
ACAD8,52.69583032,28.46341429,20.95228294,14.56628492,26.0209133
ACAD9,72.25083729,62.62269801,47.81297558,27.09609059,59.50727309
ACADL,2.558047639,3.480381222,3.411159213,3.9437183,0.43663654
ACADM,136.7254276,47.45789338,35.54404072,26.88867115,58.34960496
ACADS,28.38465436,20.50868801,19.90565865,27.4010615,15.87126336
ACADSB,14.59465403,16.32951805,17.91021016,22.94022653,18.19314424
ACADVL,338.9924555,181.8086243,145.0012944,118.265472,192.9922375
ACAN,0.867021423,0.665416978,0.599096872,0.813884368,1.173678622
ACAP1,4.965715652,3.576843938,4.002354343,2.376777246,4.642698818
ACAP2,20.72249341,19.76914077,21.74940174,19.37472298,21.27797207
ACAP3,30.14930003,39.03130312,37.7310008,28.5230027,39.67777415
ACAT1,42.26898686,38.3529468,42.75131141,36.70962789,29.37476013
ACAT2,143.0902927,52.45818649,34.99728198,22.62130528,72.76292491
ACBD3,48.58282972,48.23294552,54.06635897,49.36215339,55.32478174
ACBD4,8.361579584,8.601992937,9.362756103,9.512862626,6.985284412
ACBD5,25.02619652,26.99746305,29.38769843,22.92062491,24.15366314
ACBD6,9.700220402,10.16220902,11.1665084,10.00976889,8.002871651
ACBD7,1.28303438,0.854475706,0.856041006,0.613265891,1.371298851
ACCS,12.36175938,11.36643099,13.89197471,10.09066602,8.092338124
ACCSL,0.153858863,0.231025402,0.191762465,0.074949162,0.310257388
ACD,8.436297584,8.727711899,9.522873594,10.13756942,9.929923953
ACE,4.950149088,7.016648242,8.093370949,8.169376523,5.52447407
ACE2,0.157905512,0.091169914,0.096804252,0.049615905,0.095243271
ACER1,157.5286214,125.2131043,97.78148885,46.31640629,109.397599
ACER2,8.881105732,7.060235762,5.96713272,4.173752494,6.488596827
ACER3,12.00833686,7.536998657,7.89888138,8.872122944,10.80988866
ACHE,3.040156521,2.299174845,2.113324247,1.615255763,1.929866199
ACIN1,40.82942447,38.26034601,41.30700463,32.63501332,40.82868614
ACKR1,68.15746469,132.5341173,102.7740274,101.1477902,62.37790099
ACKR2,0.848151522,0.632401468,0.992494792,1.247697681,0.704532631
ACKR3,47.40393166,61.72840804,65.66722223,85.79835,63.43162577
ACKR4,17.56325127,25.67171177,27.31710439,17.00874342,18.8034362
ACLY,104.1467112,60.18406212,47.84566719,48.8015925,86.02700957
ACO1,49.01723066,19.8856307,15.00362903,25.68134557,24.11886223
ACO2,66.73359067,57.61702846,54.84421637,65.32276637,69.74742091
ACOT1,69.81010529,22.65353363,20.62835175,8.388723017,21.89395423
ACOT11,1.637356701,0.969174626,1.19245264,0.879317485,2.444963996
ACOT13,20.98736597,15.09293974,15.26808773,13.90205753,17.7086266
ACOT2,112.5533686,53.08488253,25.81774125,35.33978028,35.8592303
ACOT4,13.37836621,5.671000672,3.238267082,2.853481646,5.345388333
ACOT7,22.90789829,16.37318578,15.71215782,11.02228612,24.67151811
ACOT8,23.24420831,24.60024115,23.58399587,19.07251749,22.20166593
ACOT9,12.31192205,15.50239055,18.54444661,21.45830189,15.46033461
ACOX1,25.4827096,24.40959787,21.71438184,15.34015496,20.82779601
ACOX2,27.41243404,12.08214675,8.816531827,7.308696672,17.21725624
ACOX3,20.83189188,15.23703831,12.65641072,12.14568632,18.73069272
ACOXL,0.103077508,0.065366336,0.055465859,0.093631077,0.093249947
ACP1,58.57835292,51.29362658,53.27393355,40.30931021,38.37269163
